Hex ID,Country,Callsign,Registration,Type
10145,Egypt,MSR686,SU-GDY,B738
10146,Egypt,MSR794,SU-GDZ,B738
10147,Egypt,MSR706,SU-GEA,B738
10160,Egypt,MSR755,SU-GEB,B738
10204,Egypt,MSR779,SU-GFJ,A20N
10235,Egypt,FEG372,SU-TMO,B738
10249,Egypt,MSC405,SU-SKC,A320
10258,Egypt,MSC3708,SU-BVH,E190
10259,Egypt,MSC554,SU-BVI,E190
18087,Libyan Arab Jamahiriya,LWA830,5A-WLB,A319
18096,Libyan Arab Jamahiriya,GMS415,5A-GRA,B733
20025,Morocco,RAM983,CN-RNP,B738
20057,Morocco,RAM750Z,CN-RNZ,B738
20058,Morocco,RAM695T,CN-ROA,B738
20063,Morocco,RMAF325,CN-AMG,CN35
20095,Morocco,RAM944,CN-ROU,B738
20101,Morocco,RAM1403,CN-COG,AT76
20104,Morocco,RAM961U,CN-RGM,B738
20105,Morocco,RAM931G,CN-RGN,B738
20110,Morocco,RAM799,CN-RGO,E190
20111,Morocco,RAM715Z,CN-RGP,E190
20112,Morocco,RAM795M,CN-RGQ,E190
20124,Morocco,MAC118D,CN-NMJ,A320
20139,Morocco,RAM807,CN-MAX,B38M
20145,Morocco,MAC122,CN-NMO,A320
20175,Morocco,MAC337G,CN-NMP,A320
20176,Morocco,MAC468L,CN-NMQ,A320
20177,Morocco,MAC133X,CN-NMR,A320
3.90E+04,France,FHYAD,F-HYAD,P208
3.94E+04,France,AFR32AL,F-GRHB,A319
3.95E+04,France,AFR44CL,F-GRXB,A319
40032,Ethiopia,ETH607,ET-ANQ,B77L
40062,Ethiopia,ETH3710,ET-APU,B77L
40066,Ethiopia,ET501,ET-APY,B77W
40079,Ethiopia,ET620,ET-AQP,B738
40088,Ethiopia,ET8804,ET-ARF,B788
40101,Ethiopia,ETH506,ET-ASG,B788
40103,Ethiopia,ETH725,ET-ASI,B788
40105,Ethiopia,ETH406,ET-ASK,B77W
